id,hhid,Общее телесмотрение,Телесмотрение ночью,Телесмотрение утром,Телесмотрение в рабочее время,Телесмотрение в вечернее время,Телесмотрение в прайм тайм,Общее телесмотрение Пн-Пт,Телесмотрение ночью Пн-Пт,Телесмотрение утром Пн-Пт,Телесмотрение в рабочее время Пн-Пт,Телесмотрение в вечернее время Пн-Пт,Телесмотрение в прайм тайм Пн-Пт,Общее телесмотрение в выходные,Телесмотрение ночью в выходные,Телесмотрение утром в выходные,Телесмотрение в рабочее время в выходные,Телесмотрение вечером в выходные,Телесмотрение в прайм тайм в выходные,Просмотр жанра кино в рабочее время,Просмотр жанра кино в праздники,Просмотр жанра приключения в рабочее время,Просмотр жанра приключение в праздники,Просмотра жанра сад в рабочее время,Просмотр жанра сад в праздники,Просмотра жанра комедия в рабочее время,Просмотр жанра комедия в праздники,Просмотр жанра хоби в рабочее время,Просмотр жанра хобби в праздники,Просмотр жанра спорт в рабочее время,Просмотр жанра спорт в праздники,Просмотр жанра музыка в рабочее время,Просмотр жанра музыка в праздники,Просмотр жанра образования в рабочее время,Просмотр жанра образование в праздники,Размер ДХ,Тип ресивера,Оператор,Есть ли Интернет,Состав ДХ,ФО,Тип нас.пункта,Почтовый индекс
22,5269,1624,265,34.0,793,238,294,318.0,0,33,285,0,0,1306,265,1,508,238,294,0,90,0,0,1,2,0,0,0,8,1,3,0,0,0,25,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Южный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,353960
23,287,2367,173,598.0,1596,0,0,788.0,97,222,469,0,0,1579,76,376,1127,0,0,90,40,0,4,1,0,0,0,2,1,0,0,0,0,1,4,2.0,Ресивер с поддержкой HDTV,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город с численностью менее 45 тыс.,433300
24,4330,81,0,0.0,81,0,0,81.0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Город более 400 тыс.,445013
25,4233,2851,574,365.0,1648,264,0,1006.0,187,96,613,110,0,1845,387,269,1035,154,0,105,231,0,74,41,0,1,0,27,80,2,0,1,0,2,0,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Уральский федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,622031
26,3009,131,0,0.0,131,0,0,0.0,0,0,0,0,0,131,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Южный федеральный округ,Сельский населенный пункт,400038
27,4687,169,95,74.0,0,0,0,0.0,0,0,0,0,0,169,95,74,0,0,0,0,20,0,0,0,28,0,0,0,2,0,0,0,0,0,0,1.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Сибирский федеральный округ,Сельский населенный пункт,665493
28,1051,2208,264,378.0,1009,287,270,1160.0,61,169,720,120,90,1048,203,209,289,167,180,1,10,0,0,3,1,0,2,0,191,0,1,0,0,0,0,4.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Северо-Западный федеральный округ,Сельский населенный пункт,188422
29,1806,83,0,0.0,13,70,0,0.0,0,0,0,0,0,83,0,0,13,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город более 400 тыс.,150000
30,3372,3499,0,367.0,2478,574,80,1715.0,0,276,1220,202,17,1784,0,91,1258,372,63,0,0,0,0,0,84,0,0,0,0,0,8,0,0,0,0,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Южный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,353915
31,3838,139,3,136.0,0,0,0,139.0,3,136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Город с численностью менее 45 тыс.,606860
32,5136,345,0,103.0,138,97,7,11.0,0,0,11,0,0,334,0,103,127,97,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,141900
33,5418,1644,226,202.0,902,314,0,952.0,93,116,651,92,0,692,133,86,251,222,0,0,0,10,0,26,0,0,0,80,133,0,0,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Северо-Кавказский федеральный округ,Город с численностью менее 45 тыс.,357348
34,4087,2831,25,705.0,1477,242,382,562.0,13,156,393,0,0,2269,12,549,1084,242,382,0,5,0,0,0,50,0,0,0,1,0,2,0,0,13,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,392009
35,5033,1214,2,0.0,591,211,410,378.0,0,0,226,91,61,836,2,0,365,120,349,0,1,0,0,2,107,0,0,0,0,0,0,0,0,0,0,5.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Северо-Кавказский федеральный округ,Сельский населенный пункт,356200
36,4195,740,0,4.0,564,172,0,160.0,0,0,109,51,0,580,0,4,455,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Южный федеральный округ,Сельский населенный пункт,347513
37,1008,121,0,0.0,121,0,0,0.0,0,0,0,0,0,121,0,0,121,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,5.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,422982
38,1505,1,0,0.0,1,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Южный федеральный округ,Сельский населенный пункт,404174
39,312,1501,108,89.0,1092,144,68,350.0,47,44,165,94,0,1151,61,45,927,50,68,2,18,22,26,1,0,0,0,18,15,4,294,0,0,1,0,1.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Южный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,346886
40,3915,1862,3,293.0,1431,135,0,476.0,0,0,420,56,0,1386,3,293,1011,79,0,0,3,0,0,0,157,0,0,0,0,0,0,0,0,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город более 400 тыс.,108811
41,689,81,0,5.0,76,0,0,75.0,0,3,72,0,0,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Сельский населенный пункт,399071
42,4821,714,0,0.0,516,177,21,88.0,0,0,55,12,21,626,0,0,461,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Северо-Западный федеральный округ,Сельский населенный пункт,238620
43,5283,3,0,3.0,0,0,0,0.0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Северо-Кавказский федеральный округ,Сельский населенный пункт,357815
44,2590,571,0,102.0,453,16,0,449.0,0,102,347,0,0,122,0,0,106,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Южный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,404106
45,3993,224,19,186.0,19,0,0,0.0,0,0,0,0,0,224,19,186,19,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Сельский населенный пункт,396370
46,5270,1411,112,177.0,1122,0,0,1237.0,112,163,962,0,0,174,0,14,160,0,0,69,0,0,0,2,0,0,0,43,0,1,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Южный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,353900
47,5034,133,0,0.0,133,0,0,45.0,0,0,45,0,0,88,0,0,88,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,152850
48,1745,58,0,0.0,0,34,24,0.0,0,0,0,0,0,58,0,0,0,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Северо-Западный федеральный округ,Город с численностью менее 45 тыс.,188662
49,68,988,0,6.0,795,128,59,988.0,0,6,795,128,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Южный федеральный округ,Город более 400 тыс.,344032
50,3316,2042,391,250.0,1214,177,10,982.0,163,151,537,121,10,1060,228,99,677,56,0,2,3,39,80,1,1,0,53,1,23,2,1,9,0,1,0,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город более 400 тыс.,445020
51,5528,1070,436,138.0,370,126,0,269.0,215,54,0,0,0,801,221,84,370,126,0,213,70,0,52,0,0,0,0,2,99,0,0,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Сельский населенный пункт,601384
52,4550,2930,561,341.0,1933,95,0,1598.0,391,256,868,83,0,1332,170,85,1065,12,0,209,5,61,0,2,0,0,0,114,165,1,1,0,0,2,0,7.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,617050
53,4061,2,0,2.0,0,0,0,0.0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Сельский населенный пункт,392540
54,3505,831,98,412.0,321,0,0,461.0,91,181,189,0,0,370,7,231,132,0,0,1,0,0,0,201,143,0,0,0,0,0,0,0,0,0,0,1.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,606704
55,4991,159,0,0.0,29,122,8,0.0,0,0,0,0,0,159,0,0,29,122,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,303240
56,5404,1193,13,327.0,738,115,0,581.0,0,131,335,115,0,612,13,196,403,0,0,0,13,0,0,0,0,0,0,0,0,7,3,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Северо-Кавказский федеральный округ,Сельский населенный пункт,369323
57,5521,74,0,0.0,74,0,0,0.0,0,0,0,0,0,74,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Сибирский федеральный округ,Сельский населенный пункт,633530
58,5305,2823,0,435.0,1508,557,323,1091.0,0,236,457,247,151,1732,0,199,1051,310,172,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Южный федеральный округ,Сельский населенный пункт,352451
59,5132,447,0,0.0,294,120,33,0.0,0,0,0,0,0,447,0,0,294,120,33,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Северо-Кавказский федеральный округ,Сельский населенный пункт,357350
60,4241,673,0,0.0,350,241,82,446.0,0,0,327,119,0,227,0,0,23,122,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Южный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,352903
61,3379,401,0,0.0,308,87,6,99.0,0,0,99,0,0,302,0,0,209,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Ресивер с поддержкой HDTV,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,452418
62,4090,857,1,0.0,492,179,185,275.0,0,0,217,53,5,582,1,0,275,126,180,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,617062
63,5193,1394,3,0.0,727,347,317,973.0,3,0,410,243,317,421,0,0,317,104,0,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,601352
64,77,2025,0,570.0,1401,54,0,1032.0,0,57,921,54,0,993,0,513,480,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.0,Ресивер с поддержкой HDTV,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,242604
65,5267,2936,302,244.0,925,633,832,1581.0,206,244,540,252,339,1355,96,0,385,381,493,8,41,23,6,0,0,0,0,14,34,139,10,104,0,44,1,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город более 400 тыс.,394030
66,3757,137,50,34.0,50,0,3,137.0,50,34,50,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Сибирский федеральный округ,Город с численностью менее 45 тыс.,662340
67,4390,477,74,186.0,217,0,0,475.0,74,186,215,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,74,0,2,0,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Северо-Западный федеральный округ,Сельский населенный пункт,168220
68,5086,341,0,0.0,255,86,0,0.0,0,0,0,0,0,341,0,0,255,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,607870
69,1141,66,0,0.0,66,0,0,0.0,0,0,0,0,0,66,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Южный федеральный округ,Город более 400 тыс.,400075
70,187,55,0,0.0,11,29,15,0.0,0,0,0,0,0,55,0,0,11,29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,155905
71,4219,369,0,0.0,369,0,0,0.0,0,0,0,0,0,369,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Уральский федеральный округ,Город с численностью менее 45 тыс.,457020
